panel_name,loan_amount,total_loan
JPMORGAN CHASE BK NA,4940599,94932364
WELLS FARGO BK NA,4724007,94932364
LOANDEPOT.COM,4108431,94932364
BANK OF AMER NA,3015975,94932364
UNION YES FCU,2661865,94932364
GUARANTEED RATE INC.,2566986,94932364
"QUICKEN LOANS, INC.",2216727,94932364
FIRST REPUBLIC BK,2024226,94932364
RESIDENTIAL MORTGAGE SERVICES,1667789,94932364
SANTANDER BK NA,1555382,94932364
U S BK NA,1404356,94932364
ROCKLAND TC,1358574,94932364
FAIRWAY INDP MORTGAGE CORP,1242321,94932364
"PROSPECT MORTGAGE, LLC",1221931,94932364
CITIZENS BK NA,1216393,94932364
BANK OF CANTON,1207077,94932364
NEEDHAM BK,1165864,94932364
EASTERN BK,1153550,94932364
CITIBANK NA,1145297,94932364
DITECH FINANCIAL LLC,1058039,94932364
"SALEM FIVE MORTGAGE CO., LLC",967434,94932364
BOSTON PRIVATE B&TC,887940,94932364
"MORTGAGE NETWORK, INC",842226,94932364
FREEDOM MORTGAGE CORPORATION,831239,94932364
HINGHAM INST FOR SVG,801599,94932364
RADIUS FINANCIAL GROUP INC.,760942,94932364
BRANCH BKG&TC,742900,94932364
"EMBRACE HOME LOANS, INC.",687103,94932364
PEOPLES UNITED BK,682712,94932364
BERKSHIRE BK,682594,94932364
"MORTGAGE MASTER, INC.",672783,94932364
EAST BOSTON SVG BK,654571,94932364
WEBSTER BK NA,649215,94932364
BLUE HILLS BK,638429,94932364
NATIONSTAR MORTGAGE LLC,625889,94932364
"STEARNS LENDING, INC.",622789,94932364
MSA MORTGAGE LLC,590347,94932364
WASHINGTON TR MTG CO LLC,588649,94932364
HARBORONE BK,568740,94932364
PENNYMAC LOAN SERVICES LLC,558581,94932364
DEDHAM INST FOR SVG,528571,94932364
DIGITAL FCU,505572,94932364
UNITED SHORE FINANCIAL SERVICE,504688,94932364
"CITIZENS BK, NA",484622,94932364
SAGE BK,474058,94932364
CAPITAL ONE NA,474012,94932364
METRO CU,472044,94932364
RANDOLPH SVG BK,468473,94932364
EVERBANK,464938,94932364
COMMERCE B&TC,458272,94932364
PNC BK NA,458248,94932364
T D BK NA,437996,94932364
EAST BOSTON SAVINGS BANK,437405,94932364
ROCKLAND FCU,425742,94932364
PEOPLES UNITED BK NA,420814,94932364
MERRIMACK MORTGAGE COMPANY,415474,94932364
"CITIMORTGAGE, INC.",411164,94932364
PRIMELENDING A PLAINSCAPITAL C,407705,94932364
BELMONT SVG BK,406841,94932364
AMERIHOME MORTGAGE CORPORATION,401668,94932364
"OCWEN LOAN SERVICING, LLC",374092,94932364
PACIFIC UNION FINANCIAL LLC,362843,94932364
BROOKLINE BK,360578,94932364
"WALKER & DUNLOP, LLC",354456,94932364
NE MOVES MORTGAGE,352389,94932364
MORGAN STANLEY PRIV BK NA,349581,94932364
"POLI MORTGAGE GROUP, INC",342158,94932364
WELLESLEY BK,338651,94932364
"WILLIAM RAVEIS MORTGAGE, LLC",334561,94932364
"FBC MORTGAGE, LLC",331008,94932364
FRANKLIN AMERICAN MORTGAGE CO,328540,94932364
CAMBRIDGE SVG BK,317218,94932364
FIRST HOME MORTGAGE CORPORATIO,304308,94932364
PHH MORTGAGE CO,302474,94932364
"COMMONWEALTH MORTGAGE, LLC",293171,94932364
MIDDLESEX SVG BK,291864,94932364
USAA FSB,286837,94932364
CAMBRIDGE TC,282750,94932364
MEETINGHOUSE BK,276328,94932364
BRIDGEWATER SVG BK,274282,94932364
DITECH MORTGAGE CORP,273263,94932364
FIRST FSB OF BOSTON,258066,94932364
NEW FED MORTGAGE CORP,257015,94932364
BNY MELLON NA,253953,94932364
MOUNTAINONE BK,251898,94932364
"MILEND, INC.",249879,94932364
INSTITUTION SVG IN NEWBURYPORT,245689,94932364
"CALIBER HOME LOANS, INC.",243635,94932364
SUNTRUST MTG,238609,94932364
NEW PENN FINANCIAL LLC,238073,94932364
"PLAZA HOME MORTGAGE, INC.",237170,94932364
"NEWDAY FINANCIAL, LLC",235549,94932364
"MORTGAGE FINANCIAL SERVICES,IN",234294,94932364
MANUFACTURERS & TRADERS TC,223285,94932364
NORWOOD CO-OP BK,222922,94932364
QUINCY CU,220545,94932364
SIERRA PACIFIC MORTGAGE,216149,94932364
KEYBANK NA,211951,94932364
FIRST NIAGARA BK NA,210284,94932364
EAST CAMBRIDGE SVG BK,208751,94932364
FLAGSTAR BK FSB,207015,94932364
WASHINGTON TC OF WESTERLY,205648,94932364
COOPERATIVE BK,199135,94932364
AMERISAVE MORTGAGE CORPORATION,197221,94932364
PHH HOME LOANS LLC,192826,94932364
