source,target,value
First Republic,Top 10 Lenders,1085079
"Guaranteed Rate, Inc.",Top 10 Lenders,885002
Wells Fargo,Top 10 Lenders,818276
Union Yes Federal Credit Union,Top 10 Lenders,790334
Bank of America,Top 10 Lenders,653588
JP Morgan Chase,Top 10 Lenders,601760
Loandepot.com,Top 10 Lenders,593367
Boston Private B&TC,Top 10 Lenders,418113
East Boston Savings Bank,Top 10 Lenders,374095
Quicken Loans,Top 10 Lenders,345239
Top 10 Lenders,Total Boston Housing Loans,6564853
Everyone Else,Total Boston Housing Loans,12720102
