Index,Bank,total_loan_amt,9in10yr_loan_amt,9in100yr_loan_amt,21in10yr_loan_amt,21in100yr_loan_amt
0,"1ST ALLIANCE LENDING, LLC",1607,0,0,0,254
1,ABINGTON BK,17685,0,0,3578,3578
2,ACADEMY MORTGAGE CORPORATION,6456,0,501,631,631
3,ACCESS NB,717,0,0,0,0
4,ADMIRALS BK,855,0,0,0,0
5,ADVANCIAL FCU,1160,0,0,261,261
6,ADVANTAGE BK,390,0,390,390,390
7,ALIGN CU,5520,0,542,542,542
8,ALLCOM CU,432,0,0,0,0
9,ALLIANT CU,20182,0,999,2295,3766
10,ALLIED MORTGAGE GROUP,4330,0,0,0,0
11,AMER AIRLINES FCU,1724,0,532,532,803
12,AMERICAN BK,2538,0,0,0,0
13,AMERICAN EQUITY MORTGAGE,531,0,0,0,0
14,"AMERICAN EQUITY MORTGAGE, INC",934,0,0,0,0
15,AMERICAN FEDERAL MORTGAGE COPR,689,0,0,0,0
16,AMERICAN FINANCE HOUSE LARIBA,266,0,0,0,0
17,AMERICAN FINANCIAL RESOURCES,10404,0,0,0,354
18,AMERICAN INTERNET MORTGAGE,7642,0,375,735,1371
19,AMERICAN NEIGHBORHOOD MORTGAGE,14800,0,1216,1619,3039
20,AMERISAVE MORTGAGE CORPORATION,16212,0,520,750,1702
21,ARK-LA-TEX FINANCIAL SERVICES,679,0,0,0,0
22,ASTORIA BK,1027,0,0,0,0
23,ASTORIA FEDERAL MTG. CORP.,14729,0,856,4187,4987
24,"ATLANTIC HOME LENDING, INC",4464,0,697,697,697
25,ATLANTIC HOME LOANS INC.,1781,0,280,280,280
26,AVIDIA BK,39263,0,8926,9516,10076
27,AVON CO-OP BK,1670,0,0,0,0
28,B2R FINANCE L.P.,3761,0,0,0,0
29,BAC FL BK,903,0,0,0,0
30,BANC OF CA NA,6185,0,1035,747,1035
31,BANGOR SVG BK,689,0,0,689,689
32,BANK FUND STAFF FCU,655,0,0,0,0
33,BANK OF AMER NA,653588,0,41285,51956,75046
34,BANK OF CANTON,193353,0,3642,10527,15675
35,BANK OF CAPE COD,3215,0,0,490,907
36,BANK OF EASTON,3248,0,0,0,0
37,BANK OF ENGLAND,6222,0,0,0,328
38,BANK OF ME,4873,0,0,0,0
39,BANK RHODE ISLAND,180,0,0,0,0
40,BANKGLOUCESTER,6601,0,706,706,2426
41,BARRINGTON B&TC NA,22413,0,0,1626,3086
42,BARRONS MORTGAGE GROUP,1619,0,0,0,0
43,BAXTER CU,9026,0,0,490,490
44,BAY ST SVG BK,13848,0,0,0,1328
45,BAYCOAST BK,6286,0,0,831,831
46,BCB CMNTY BK,100,0,0,0,0
47,BELMONT SVG BK,102661,0,3429,8514,11904
48,BENCHMARK BK,253,0,0,0,0
49,BERKELEY POINT CAPITAL,35984,0,0,0,0
50,BERKSHIRE BK,168981,0,9497,15058,27672
51,BETHPAGE FCU,380,0,0,0,0
52,BEVERLY BK,22717,0,6567,7324,10661
53,BEVERLY CO-OP BK,14385,0,680,2266,3141
54,BLUE HILLS BK,203379,0,3808,9283,17688
55,BMI FCU,432,0,0,0,0
56,BMO HARRIS BK NA,950,0,0,0,950
57,BNY MELLON NA,111079,0,6179,12477,16242
58,BOFI FED BK,8953,0,0,0,0
59,BOKF NA,3246,0,0,0,597
60,BOSTON FRFTRS CU,59678,0,1310,5655,6930
61,BOSTON PRIVATE B&TC,418113,1606,34507,40656,86897
62,BRAINTREE CO-OP BK,4448,0,0,0,0
63,BRANCH BKG&TC,12982,0,825,1304,1914
64,BRIDGEVIEW BANK MTG COMP LLC,752,0,0,0,0
65,BRIDGEWATER CU,1023,0,0,0,0
66,BRIDGEWATER SVG BK,9878,0,0,1304,2172
67,BRISTOL CTY SVG BK,7190,0,0,0,300
68,"BROKER SOLUTIONS, INC",6159,0,635,635,635
69,BROOKLINE BK,188880,0,2360,3203,6467
70,"CALIBER HOME LOANS, INC.",26986,0,1055,2120,3369
71,CAMBRIDGE MTG GRP,11944,0,0,924,1464
72,CAMBRIDGE PORTUGUESE CU,330,0,0,0,0
73,CAMBRIDGE SVG BK,159872,768,20165,21299,28659
74,CAMBRIDGE TC,102257,0,6411,8154,12978
75,CAMDEN NB,9737,0,280,280,809
76,CAPE ANN SVG BK,2025,0,0,0,394
77,CAPE COD CO-OP BK,3001,0,0,0,0
78,CAPE COD FIVE CENTS SVG BK,14772,0,1390,2308,2308
79,CAPITAL BANK NA,541,0,0,204,204
80,CAPITAL ONE NA,243063,0,0,608,1136
81,CATHAY BK,8404,0,611,1514,1514
82,CBC NB,6385,0,0,0,672
83,CENT MTG CO D/B/A CENTURY LEND,326,0,326,326,326
84,CENTRAL ONE FED CU,3053,0,0,0,0
85,CENTREVILLE BANK,959,0,542,542,542
86,CENTURY B&TC,56931,0,4018,5705,15860
87,CERTUSBANK NA,370,0,0,0,0
88,CHARLES RIVER BK,1361,0,0,0,0
89,CHARLES SCHWAB BK,25558,0,1423,1423,2423
90,CHELSEA BK,1332,0,0,0,150
91,CHEMUNG CANAL TC,701,0,0,0,0
92,CHICOPEE SVG BK,560,0,0,0,0
93,CIT BK NA,1007,0,0,0,0
94,CITIBANK NA,277478,0,12133,11816,22782
95,CITIZENS BK NA,197867,912,6449,15430,23436
96,"CITIZENS BK, NA",69835,0,2612,8965,11085
97,CITIZENS NB OF GREATER STL,168,0,0,0,0
98,CITY NB,853,0,353,353,353
99,CITY OF BOSTON CU,80377,0,1137,4106,5931
100,CLEARVIEW FCU,270,0,0,0,0
101,CLINTON SVG BK,27672,0,231,231,231
102,CNB MORTGAGE COMPANY,288,0,0,0,0
103,COASTAL HERITAGE BANK,2602,0,0,0,510
104,COASTAL HERITAGE BK,5908,0,0,622,622
105,COASTWAY CMNTY BK,19679,0,2005,2788,4846
106,COLE TAYLOR BK,6335,0,225,225,225
107,COLONIAL FSB,4001,0,0,1750,1750
108,COLONIAL SVG FA,177,0,0,0,0
109,COLORADO FSB,1430,0,0,0,0
