source,target,value
First Republic,Top 10 21-100 Risky Lenders,129959
"Guaranteed Rate, Inc",Top 10 21-100 Risky Lenders,120931
JP Morgan Chase,Top 10 21-100 Risky Lenders,114398
Union Yes Federal Credit Union,Top 10 21-100 Risky Lenders,113627
East Boston Savings Bank,Top 10 21-100 Risky Lenders,108944
Wells Fargo,Top 10 21-100 Risky Lenders,103183
Keybank,Top 10 21-100 Risky Lenders,100174
Boston Private B&TC,Top 10 21-100 Risky Lenders,86897
Bank of America,Top 10 21-100 Risky Lenders,75046
Loandepot.com,Top 10 21-100 Risky Lenders,70725
Top 10 21-100 Risky Lenders,Total 21-100 Risky Lending,1023884
Everyone Else,Total 21-100 Risky Lending,1630566
