Bank,21in100yr_loan_amt,21in10yr_loan_amt,9in100yr_loan_amt,9in10yr_loan_amt,total_loan_amt
First_Republic,129959,75974,60597,0,1085079
Guaranteed_Rate,120931,77410,40201,305,885002
Wells_Fargo,103183,72640,38470,161,818276
Union_Yes_FCU,113627,68792,34737,183,790334
Bank_America,75046,51956,41285,0,653588
East_Boston_Savings,173665,117712,89474,3504,611873
JPMorgan_Chase,114398,38934,25444,0,601760
Loandepot,70725,47579,30952,0,593367
Boston_Private_BTC,86897,40656,34507,1606,418113
Quicken_Loans,25500,17359,10049,497,345239
