source,target,value
East Boston Savings Bank,Top 10 9-100 Risky Lenders,70392
First Republic,Top 10 9-100 Risky Lenders,60597
Bank of America,Top 10 9-100 Risky Lenders,41285
"Guaranteed Rate, Inc.",Top 10 9-100 Risky Lenders,40201
Wells Fargo,Top 10 9-100 Risky Lenders,38470
Union Yes Federal Credit Union,Top 10 9-100 Risky Lenders,34737
Boston Private B&TC,Top 10 9-100 Risky Lenders,34507
Loandepot.com,Top 10 9-100 Risky Lenders,30952
"Prospect Mortgage, LLC",Top 10 9-100 Risky Lenders,26770
JP Morgan Chase,Top 10 9-100 Risky Lenders,25444
Top 10 9-100 Risky Lenders,Total 9-100 Risky Lending,403355
Everyone Else,Total 9-100 Risky Lending,561800
