source, target, value
First Republic Bank, Top 20 lenders in Boston, 1085
Guaranteed Rate, Top 20 lenders in Boston, 885
Wells Fargo Bank, Top 20 lenders in Boston, 818
Union Yes FCU, Top 20 lenders in Boston, 790
Bank of American, Top 20 lenders in Boston, 654
East Boston Savings Bank, Top 20 lenders in Boston, 612
JP Morgan Chase Bank, Top 20 lenders in Boston, 602
LoanDepot, Top 20 lenders in Boston, 593
Boston Private B&TC, Top 20 lenders in Boston, 418
Quicken Loans, Top 20 lenders in Boston, 345
Eastern Bank, Top 20 lenders in Boston, 342
Santander Bank, Top 20 lenders in Boston, 338
Fairway Independent Mortgage Corp, Top 20 lenders in Boston, 326
Prospect Mortgage LLC, Top 20 lenders in Boston, 290
Needham Bank, Top 20 lenders in Boston, 287
Hingham Institute for Savings, Top 20 lenders in Boston, 285
Residential Mortgage Services, Top 20 lenders in Boston, 285
Citibank, Top 20 lenders in Boston, 277
Capital One, Top 20 lenders in Boston, 243
Washington TR MTG CO LLC, Top 20 lenders in Boston, 211
Top 20 lenders in Boston, Total lending amount, 9688
Others, Other lenders in Boston, 9596
Other lenders in Boston, Total lending amount, 9596
