source,target,value,
First Republic Bank,Top 20 lenders in Boston,1085079,1085
Guaranteed Rate Inc.,Top 20 lenders in Boston,885002,885
Wells Fargo Bank,Top 20 lenders in Boston,818276,818
Union Yes FCU,Top 20 lenders in Boston,790334,790
Bank of American,Top 20 lenders in Boston,653588,654
East Boston Svg Bank,Top 20 lenders in Boston,611873,612
JP Morgan Chase Bank,Top 20 lenders in Boston,601760,602
LoanDepot,Top 20 lenders in Boston,593367,593
Boston Private B&TC,Top 20 lenders in Boston,418113,418
"Quicken Loans, Inc.",Top 20 lenders in Boston,345239,345
Eastern Bank,Top 20 lenders in Boston,342480,342
Santander Bank,Top 20 lenders in Boston,338364,338
Fairway Indp Mortgage Corp,Top 20 lenders in Boston,326321,326
"Prospect Mortgage, LLC",Top 20 lenders in Boston,290293,290
Needham Bank,Top 20 lenders in Boston,287129,287
Hingham Inst for Svg,Top 20 lenders in Boston,285029,285
Residential Mortgage Services,Top 20 lenders in Boston,284560,285
Citibank,Top 20 lenders in Boston,277478,277
Capital One,Top 20 lenders in Boston,243063,243
Washington TR MTG CO LLC,Top 20 lenders in Boston,211143,211
Top 20 lenders in Boston,Total lending amount,9688491,9688
Others,Other lenders in Boston,9596464,9596
Other lenders in Boston,Total lending amount,9596464,9596
