Bank,2011,2012,2013,2014,2015
First Republic,1,,2,4,1
"Guaranteed Rate, Inc.",2,,4,3,2
Wells Fargo,3,,5,5,6
Union Yes Federal Credit Union,4,,6,6,4
Bank of America,5,,3,7,9
JP Morgan Chase,6,,10,,3
Loandepot.com,7,,8,8,10
Boston Private B&TC,8,3,7,9,8
East Boston Savings Bank,9,1,1,2,5
Quicken Loans,10,10,,,
MountainOne,,2,,,
"MSA Mortgage, LLC",,4,,,
Residential Mortgage Services,,5,,,
Citizens Bank,,6,,,
Cambridge Savings Bank,,7,,,
Commonwealt Coop Bank,,8,,,
Primelending,,9,,,
Prospect Mortgage,,,9,10,
Keybank,,,,1,7
