Bank, Loan amount under 21in 100yr risk projection, Loan amount under 21in 10yr risk projection, Loan amount under 9in 100yr risk projection, Loan amount under 9in 10yr risk projection, Loans Not At Risk
First Republic,0.129959,0.075974,0.060597,0,1.085079
Guaranteed Rate,0.120931,0.07741,0.040201,0.000305,0.885002
Wells Fargo,0.103183,0.07264,0.03847,0.000161,0.818276
Union Yes FCU,0.113627,0.068792,0.034737,0.000183,0.790334
Bank America,0.075046,0.051956,0.041285,0,0.653588
East Boston Savings,0.173665,0.117712,0.089474,0.003504,0.611873
JPMorgan Chase,0.114398,0.038934,0.025444,0,0.60176
LoanDepot,0.070725,0.047579,0.030952,0,0.593367
Boston Private BTC,0.086897,0.040656,0.034507,0.001606,0.418113
Quicken Loans,0.0255,0.017359,0.010049,0.000497,0.345239
